Gender,AgeCategory,IncomeCat,Vicinity,TimeBrowse,RepeatCust,NoVisits,Sample,Tour,WeekDay,TimeofDay,WinePref,Purchase,Amount,Season,Hi Temp,Date,Month No
2,4,2,1,1,2,0,1,2,6,1,1,2,0,1,14,1/1/17 12:00 AM,1
2,3,6,3,2,1,1,1,2,6,4,3,1,43.46,1,22,1/1/17 6:38 PM,1
1,4,4,3,3,2,0,1,1,5,5,2,1,13.59,1,3,1/2/17 5:26 PM,1
1,4,8,3,3,1,1,1,2,6,2,2,1,13.59,1,15,1/3/17 12:48 PM,1
2,5,6,3,5,1,1,2,1,6,2,1,1,91.82,1,15,1/3/17 6:47 PM,1
1,3,4,3,2,1,2,1,1,7,1,3,1,13.59,1,19,1/4/17 11:22 AM,1
2,4,6,3,5,2,0,2,1,5,5,1,1,45.08,1,11,1/5/17 1:11 AM,1
2,1,6,4,3,2,0,2,1,1,4,2,2,0,1,18,1/5/17 2:33 AM,1
1,3,1,3,3,2,0,1,2,5,3,3,1,13.59,1,21,1/5/17 4:33 AM,1
1,6,3,3,3,1,4,1,1,6,1,3,1,13.59,1,19,1/5/17 4:10 PM,1
1,5,3,4,2,1,4,1,1,5,5,1,1,74.49,1,21,1/6/17 1:21 PM,1
2,6,7,3,1,2,0,1,2,6,5,2,1,57.31,1,17,1/7/17 8:20 AM,1
1,4,2,3,3,2,0,2,2,6,3,1,1,13.59,1,25,1/8/17 5:28 AM,1
2,1,7,4,1,2,0,1,1,1,1,3,1,26.06,1,7,1/8/17 9:28 PM,1
1,2,6,4,2,1,1,1,2,6,5,2,1,13.59,1,2,1/9/17 8:51 AM,1
2,3,2,1,4,2,0,1,2,7,1,3,2,0,1,25,1/9/17 1:17 PM,1
1,3,3,4,4,1,1,1,2,7,4,1,1,13.59,1,9,1/10/17 11:09 AM,1
1,2,5,3,5,2,0,1,1,1,4,2,1,13.59,1,20,1/11/17 6:44 AM,1
2,3,9,4,3,2,0,2,2,6,3,1,1,46.96,1,9,1/11/17 4:21 PM,1
2,5,9,4,3,2,0,2,1,6,4,3,1,86.74,1,2,1/12/17 11:36 AM,1
1,6,5,3,2,2,0,1,1,6,2,1,1,13.59,1,22,1/12/17 12:11 PM,1
1,3,6,1,4,2,0,1,1,5,4,2,1,13.59,1,8,1/13/17 2:18 AM,1
1,4,4,3,1,1,2,1,1,7,2,3,1,13.59,1,24,1/13/17 10:06 AM,1
1,1,3,4,3,1,2,1,1,7,1,3,1,13.59,1,15,1/13/17 8:32 PM,1
2,2,2,3,5,1,1,1,2,5,1,2,1,50.68,1,22,1/14/17 2:00 AM,1
2,5,2,4,1,2,0,2,2,1,5,1,2,0,1,11,1/14/17 7:07 PM,1
1,4,8,1,3,2,0,1,2,2,1,3,1,13.59,1,9,1/15/17 6:04 PM,1
1,3,4,4,1,2,0,1,2,6,4,2,1,13.59,1,20,1/16/17 5:05 PM,1
1,5,6,3,2,1,1,2,1,5,1,2,1,13.59,1,23,1/16/17 7:17 PM,1
1,1,3,3,2,2,0,1,1,6,4,3,1,13.59,1,19,1/17/17 1:40 AM,1
2,5,5,4,4,2,0,1,2,5,5,2,1,59.67,1,11,1/18/17 1:00 AM,1
2,3,7,3,5,2,0,1,1,6,2,2,1,60.2,1,22,1/18/17 6:04 AM,1
1,3,2,3,3,2,0,1,2,5,4,2,1,93.34,1,2,1/19/17 4:01 AM,1
